drug_name,molecular_formula,mole_weight_g_mol​,MOP,effect_MOP,DOP,effect_DOP,KOP,effect_KOP,NOP,effect_NOP,class
3-methylfentanyl,C23H30N2O ,350.5,1,agonist,1,agonist,1,agonist,0,,synthetic
3-methylthiofentanyl,C21H28N2OS,356.5,1,agonist,1,agonist,1,agonist,0,,synthetic
4-chloroisobutyrfentanyl,C23H29ClN2O,384.95,,,,,,,,,synthetic
4-fluoroisobutyrfentanyl,C23H29FN2O,368.5,1,agonist,,,,,,,synthetic
4-phenylfentanyl,"	C28H32N2O",412.6,,,,,,,,,synthetic
6'-guanidinonaltrindole,C27H29N5O3,471.5,,,,,1,agonist,,,synthetic
acetorphine,C27H35NO5,453.6,,,,,,,,,synthetic
acetyldihydrocodeine,C20H25NO4,343.4,,,,,,,,,semi-synthetic
acetylfentanyl,C21H26N2O,322.4,1,agonist,,,,,,,synthetic
acetylmethadol,C23H31NO2,353.5,1,agonist,,,,,,,synthetic
acrylfentanyl,C22H26N2O,334.5,1,agonist,,,,,,,synthetic
AH-7921,C16H22Cl2N2O,329.3,1,agonist,0,,1,agonist,0,,synthetic
alfentanil,C21H32N6O3,416.5,1,agonist,,,,,,,synthetic
alimadol,C19H23NO,281.4,,,,,,,,,synthetic
alletorphine,C27H35NO4,437.6,,,,,,,,,synthetic
allylprodine,"	C18H25NO2",287.4,1,agonist,,,,,,,synthetic
alphacetylmethadol,C23H32ClNO2,390,,,,,,,,,synthetic
alphameprodine,C17H25NO2,275.4,,,,,,,,,synthetic
alphamethadol,C21H29NO,311.5,,,,,,,,,synthetic
alphamethylacetylfentanyl,C22H28N2O,336.5,1,agonist,,,,,,,synthetic
alphamethylfentanyl,C23H30N2O,350.5,1,agonist,,,,,,,synthetic
alphamethylthiofentanyl,C21H28N2OS,356.5,1,agonist,,,,,,,synthetic
alphaprodine,C16H23NO2,261.36,,,,,,,,,synthetic
alvimopan,C25H32N2O4,424.5,1,antagonist,1,antagonist,1,antagonist,0,,synthetic
anazocine,C16H23NO,245.36,,,,,,,,,synthetic
anileridine,C22H28N2O2,352.5,1,agonist,,,,,,,synthetic
apadoline,C23H29N3OS,395.6,,,,,1,agonist,,,synthetic
asalhydromorphone,C35H31NO9,609.6,1,agonist,,,,,,,synthetic
asimadoline,C27H30N2O2,414.5,0,,0,,1,agonist,,,synthetic
axomadol,C16H25NO3,279.37,,,,,,,,,synthetic
benzethidine,C23H29NO3,367.5,,,,,,,,,synthetic
benzodioxolefentanyl,C27H28N2O3,428.5,1,agonist,,,,,,,synthetic
benzoylfentanyl,"	C26H28N2O",384.5,1,agonist,,,,,,,synthetic
benzyhydrocodone,C25H25NO4,403.5,0,,0,,0,,0,,synthetic
benzylfentanyl,"	C21H26N2O",322.4,1,agonist,,,,,,,synthetic
benzylmorphine,C24H25NO3,375.5,,,,,,,,,semi-synthetic
betacetylmethadol,C23H31NO2,353.5,,,,,,,,,synthetic
betahydroxyfentanyl,C22H28N2O2,352.5,1,agonist,,,,,,,synthetic
betahydroxythiofentanyl,C20H26N2O2S,358.5,1,agonist,,,,,,,synthetic
betameprodine,C17H25NO2,275.4,,,,,,,,,synthetic
betamethadol,C21H29NO,311.5,,,,,,,,,synthetic
betamethylfentanyl,"	C23H30N2O",350.5,1,agonist,,,,,,,synthetic
betaprodine,"	C16H23NO2",261.36,,,,,,,,,synthetic
bezitramide,C31H32N4O2,492.6,,,,,,,,,synthetic
bremazocine,"	C20H29NO2",315.4,1,antagonist,1,agonist,1,agonist,,,synthetic
brifentanil,C20H29FN6O3,420.5,1,agonist,,,,,,,synthetic
bromadoline,C15H21BrN2O,325.24,,,,,,,,,synthetic
brorphine,C20H22BrN3O,400.32,1,agonist,,,,,,,synthetic
BU-08028,C30H43NO4,481.7,1,agonist,,,,,1,agonist,synthetic
buprenorphine,C29H41NO4,467.6,1,partial agonist,1,antagonist,1,antagonist,1,agonist,semi-synthetic
butinazocine,C18H23NO2,285.4,,,,,,,,,synthetic
butorphanol,C21H29NO2,327.5,1,agonist,1,agonist,1,agonist,,,synthetic
butyrfentanyl,C23H30N2O,350.5,1,agonist,1,partial agonist,1,partial agonist,,,synthetic
carbazocine,C22H28N2,320.5,,,,,,,,,synthetic
carfentanil,"	C24H30N2O3",394.5,1,agonist,1,agonist,1,agonist,,,synthetic
carperidine,C17H24N2O3,304.4,,,,,,,,,synthetic
ciramadol,C15H23NO2,249.35,1,mixed,,,,,,,synthetic
clonitazene,C20H23ClN4O2,386.9,,,,,,,,,synthetic
codeine,"	C18H21NO3",299.4,1,agonist,0,,0,,0,,alkaloid
codoxime,C20H24N2O5,372.4,,,,,,,,,semi-synthetic
cogazocine,C21H31NO,313.5,,,,,,,,,synthetic
crotonylfentanyl,"	C23H28N2O",348.5,1,agonist,,,,,,,synthetic
cyclazocine,C18H25NO,271.4,1,agonist,1,agonist,1,agonist,,,synthetic
cyclopentylfentanyl,C25H32N2O2,376.5,1,agonist,,,,,,,synthetic
cyclopropylfentanyl,C23H28N2O,348.5,1,agonist,0,,0,,,,synthetic
cyprenorphine,C26H33NO4,423.5,,,,,,,,,synthetic
desmethylmoramide,C24H30N2O2,378.5,,,,,,,,,synthetic
desmethylprodine,C15H21NO2,247.33,,,,,,,,,synthetic
desmetramadol,C15H23NO2,249.35,1,agonist,,,,,,,synthetic
desomorphine,C17H21NO2,271.35,1,agonist,1,agonist,1,agonist,,,semi-synthetic
dextromethorphan,C18H25NO,271.4,1,agonist,1,agonist,1,agonist,,,synthetic
dextromoramide,C25H32N2O2,392.5,1,agonist,,,,,,,synthetic
dextropropoxyphene,C22H29NO2,339.5,1,agonist,1,agonist,1,antagonist,,,synthetic
dezocine,C16H23NO,245.36,1,partial agonist,0,,1,antagonist,,,synthetic
diamorphine,C21H23NO5,369.4,1,agonist,1,agonist,1,agonist,,,semi-synthetic
diampromide,C21H28N2O,324.5,,,,,,,,,synthetic
dibenzoylmorphine,C31H27NO5,493.5,,,,,,,,,semi-synthetic
diethylthiambutene,C16H21NS2,291.5,,,,,,,,,synthetic
difenoxin,C28H28N2O2,424.5,1,agonist,,,,,,,synthetic
dihydrocodeine,C18H23NO3,301.4,1,agonist,,,,,,,semi-synthetic
dihydroetorphine,C25H35NO4,413.5,1,agonist,1,agonist,1,agonist,1,partial agonist,semi-synthetic
